wt-circle src,shop2-review-attribution,shop2-review-attribution 2,shop2-review-attribution href,screen-reader-only,prose,wt-display-block href,listing-image src,wt-display-table-cell
https://i.etsystatic.com/iusa/d366ab/112667784/iusa_75x75.112667784_qrg6.jpg?version=0,"on Sep 20, 2022",Stephanie,https://www.etsy.com/people/vfg3zbnpjfonfpj3?ref=shop_review,5 out of 5 stars,Love the shirt! Came in great shape and quality also shipping.,https://www.etsy.com/listing/1261362967/keanu-reeves-retro-shirt-keanu-reeves?ref=shop_review,https://i.etsystatic.com/3990004572/r/il/36d88a/3990004572/il_170x135.3990004572_t9nq.jpg,"Keanu Reeves Retro Shirt, Keanu Reeves Shirt, Keanu Reeves Retro Shirt, Keanu Reeves 90's Shirt, Keanu Reeves Gift, Keanu Reeves Bootleg"
https://i.etsystatic.com/iusa/6cedfc/82775945/iusa_75x75.82775945_iuvl.jpg?version=0,"on Sep 19, 2022",Stephanie,https://www.etsy.com/people/idl8aqpv?ref=shop_review,5 out of 5 stars,I've had so many people ask where I got this shirt! The best find I've had in a while.,https://www.etsy.com/listing/1208582375/nick-miller-retro-shirt-nick-miller?ref=shop_review,https://i.etsystatic.com/3782941700/r/il/a5d1d1/3782941700/il_170x135.3782941700_j0xi.jpg,"Nick Miller Retro Shirt, Nick Miller Homage Shirt, Nick Miller Shirt, Nick Miller Actor Shirt, Unisex Shirt, Nick Miller New Girls Fans Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 17, 2022",Kit,https://www.etsy.com/people/w00t4ewan?ref=shop_review,5 out of 5 stars,Great shirt and fast shipping,https://www.etsy.com/listing/1196039860/vintage-emily-prentiss-and-jj-retro?ref=shop_review,https://i.etsystatic.com/3835983287/r/il/78aab0/3835983287/il_170x135.3835983287_cg5l.jpg,"Vintage Emily Prentiss and JJ Retro Shirt, Emily Prentiss and Jj  Shirt, Emily Prentiss and JJ Criminal Minds TV Series Shirt"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 23, 2022",Chanelle,https://www.etsy.com/people/v7v6h2vvl7efd85w?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1190249192/adam-sandler-retro-shirtadam-sandler?ref=shop_review,https://i.etsystatic.com/3766401518/r/il/57a6e6/3766401518/il_170x135.3766401518_62rb.jpg,"Adam Sandler Retro Shirt,Adam Sandler Homage Shirt, Adam Sandler Fan Shirt, Adam Sandler Unisex Shirt, Adam Sandler Actor Comedian Tee"
https://i.etsystatic.com/iusa/9b19a3/89084607/iusa_75x75.89084607_gl7v.jpg?version=0,"on Sep 17, 2022",Angela,https://www.etsy.com/people/astidham?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1192937070/princess-diana-retro-shirt-princess?ref=shop_review,https://i.etsystatic.com/3824318539/r/il/13b940/3824318539/il_170x135.3824318539_mvci.jpg,"Princess Diana Retro Shirt, Princess Diana Fan Shirt, Princess Diana Shirt, Princess Diana Unisex Shirt, Princess Diana Public Figure Tee"
https://i.etsystatic.com/iusa/5a051d/101293974/iusa_75x75.101293974_mpis.jpg?version=0,"on Sep 17, 2022",Ndia,https://www.etsy.com/people/wc7r3xug?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1192937070/princess-diana-retro-shirt-princess?ref=shop_review,https://i.etsystatic.com/3824318635/r/il/845fc0/3824318635/il_170x135.3824318635_r8u5.jpg,"Princess Diana Retro Shirt, Princess Diana Fan Shirt, Princess Diana Shirt, Princess Diana Unisex Shirt, Princess Diana Public Figure Tee"
https://i.etsystatic.com/iusa/c1575d/112163105/iusa_75x75.112163105_9c5n.jpg?version=0,"on Sep 17, 2022",Sam,https://www.etsy.com/people/r9mtt3ah?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1192937070/princess-diana-retro-shirt-princess?ref=shop_review,https://i.etsystatic.com/3776711400/r/il/862bd4/3776711400/il_170x135.3776711400_epeq.jpg,"Princess Diana Retro Shirt, Princess Diana Fan Shirt, Princess Diana Shirt, Princess Diana Unisex Shirt, Princess Diana Public Figure Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 11, 2022",keith,https://www.etsy.com/people/t0ap8syw?ref=shop_review,5 out of 5 stars,great quality and shipped really quickly!  love it!,https://www.etsy.com/listing/1244765307/omar-apollo-retro-shirt-omar-apollo?ref=shop_review,https://i.etsystatic.com/3965528781/r/il/406d05/3965528781/il_170x135.3965528781_dkhj.jpg,"Omar Apollo Retro Shirt, Omar Apollo Shirt, Omar Apollo Fan Shirt, Omar Apollo 90's Vintage Homage Shirt, Omar Apollo Gift for Fan"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 10, 2022",Noriyuki,https://www.etsy.com/people/lhvn161khv4mq5v2?ref=shop_review,5 out of 5 stars,I love it with a great quality,https://www.etsy.com/listing/1235865943/tom-misch-retro-sweatshirt-tom-misch?ref=shop_review,https://i.etsystatic.com/3931951065/r/il/d2d9c7/3931951065/il_170x135.3931951065_9s1k.jpg,"Tom Misch Retro Sweatshirt, Tom Misch Movie, Tom Misch Sweatshirt, Tom Misch 90's Vintage Homage Shirt, Tom Misch Gift for fan, Tom Misch"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 8, 2022",Etsy buyer,https://www.etsy.com/people/menriquezbkny1?ref=shop_review,4 out of 5 stars,Love the shirt and design. Comfortable and cool to wear.,https://www.etsy.com/listing/1189732436/mazzy-star-hope-sandoval-vintage-t-shirt?ref=shop_review,https://i.etsystatic.com/3812112661/r/il/a6b277/3812112661/il_170x135.3812112661_7pgi.jpg,"Mazzy Star Hope Sandoval Vintage T-Shirt - Mazzy Star Shirt, Mazzy Star Band, Rock Music, Gift Music Lovers, Mazzy Star Fade Into You Shirt"
https://i.etsystatic.com/iusa/34a954/20012678/iusa_75x75.20012678.jpg?version=0,"on Sep 5, 2022",Ryun,https://www.etsy.com/people/BonesofEarth?ref=shop_review,5 out of 5 stars,"Fast Shipping and Great Product, my friend loved it for her B-Day!",https://www.etsy.com/listing/1208542565/nicolas-cage-retro-shirt-nicolas-cage?ref=shop_review,https://i.etsystatic.com/3830370967/r/il/9fb621/3830370967/il_170x135.3830370967_lozw.jpg,"Nicolas Cage Retro Shirt, Nicolas Cage Homage Shirt, Nicolas Cage Shirt, Nicolas Cage Actor Shirt, Unisex Shirt, Nicolas Cage Actor Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 4, 2022",Zane,https://www.etsy.com/people/nybyhdhq?ref=shop_review,5 out of 5 stars,The shirt is excellent! It looks great! It feels great! No issues here! Thank you so much! I’ll be back for more!🤘🏻,https://www.etsy.com/listing/1193966398/jared-leto-retro-shirt-jared-leto-homage?ref=shop_review,https://i.etsystatic.com/3780480452/r/il/f758d7/3780480452/il_170x135.3780480452_e1a5.jpg,"Jared Leto Retro Shirt, Jared Leto Homage Shirt, Jared Leto Shirt, Jared Leto Funny Shirt, Unisex Shirt, Jared Leto Actor Singer Tee"
https://i.etsystatic.com/iusa/53b458/103515076/iusa_75x75.103515076_laat.jpg?version=0,"on Sep 3, 2022",Etsy buyer,https://www.etsy.com/people/veryvogue?ref=shop_review,5 out of 5 stars,Iconic sweatshirt!,https://www.etsy.com/listing/1247351588/meghan-markle-sweatshirt-meghan-markle?ref=shop_review,https://i.etsystatic.com/4030418771/r/il/60a97e/4030418771/il_170x135.4030418771_9rxm.jpg,"Meghan Markle Sweatshirt, Meghan Markle Retro Sweatshirt, Meghan Markle Fan Gift, Meghan Markle Shirt, Meghan Markle Merch"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 4, 2022",Jamie,https://www.etsy.com/people/pm1d8q7xohsr16ge?ref=shop_review,3 out of 5 stars,"The quality of the picture/shirt wasn't that great. The shirt is thin. Right out of the package, the picture looked already pretty faded and I'm afraid after a couple of washes that the whole picture will be gone or so worn off no body will know what it was supposed to be.",https://www.etsy.com/listing/1262864089/george-costanza-seinfield-shirt-george?ref=shop_review,https://i.etsystatic.com/3989256582/r/il/ca4553/3989256582/il_170x135.3989256582_acm7.jpg,"George Costanza Seinfield Shirt, George Costanza Shirt, George Costanza Homage Shirt, Seinfeld Shirt, Seinfeld Fan, Classic American Sitcom"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Sep 9, 2022",Etsy buyer,https://www.etsy.com/people/onecunningham?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1212859497/princess-diana-retro-sweatshirt-princess?ref=shop_review,https://i.etsystatic.com/3799033146/r/il/d298c5/3799033146/il_170x135.3799033146_1kyw.jpg,"Princess Diana Retro Sweatshirt, Princess Diana Homage Sweatshirt, Princess Diana Sweatshirt, Princess Diana Unisex Sweatshirt, Princess"
https://i.etsystatic.com/iusa/10430a/90308718/iusa_75x75.90308718_fxm8.jpg?version=0,"on Sep 9, 2022",Etsy buyer,https://www.etsy.com/people/theresab3721?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1214636149/leonardo-dicaprio-retro-shirt-leonardo?ref=shop_review,https://i.etsystatic.com/3805835290/r/il/70c041/3805835290/il_170x135.3805835290_pkj9.jpg,"Leonardo DiCaprio Retro Shirt, Leonardo DiCaprio Shirt, Leonardo Di Caprio Vintage Shirt, Leonardo Di Caprio Gift for fan, DiCaprio Shirt"
https://i.etsystatic.com/iusa/ece4a6/46452816/iusa_75x75.46452816_b5os.jpg?version=0,"on Sep 3, 2022",holiday,https://www.etsy.com/people/holidat?ref=shop_review,5 out of 5 stars,,https://www.etsy.com/listing/1208542565/nicolas-cage-retro-shirt-nicolas-cage?ref=shop_review,https://i.etsystatic.com/3782773928/r/il/f7f169/3782773928/il_170x135.3782773928_njks.jpg,"Nicolas Cage Retro Shirt, Nicolas Cage Homage Shirt, Nicolas Cage Shirt, Nicolas Cage Actor Shirt, Unisex Shirt, Nicolas Cage Actor Tee"
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"on Aug 28, 2022",Melissa,https://www.etsy.com/people/34aimvjk?ref=shop_review,5 out of 5 stars,I love my T-shirt. The quality is excellent.,,,
https://i.etsystatic.com/site-assets/images/avatars/default_avatar.png?width=75,"Inactive account on Aug 27, 2022",,,5 out of 5 stars,Good quality shirt. Its the material kind I like so it was very worth it :),https://www.etsy.com/listing/1187186694/mac-demarco-retro-shirt-mac-demarco?ref=shop_review,https://i.etsystatic.com/3802489033/r/il/c050a5/3802489033/il_170x135.3802489033_99we.jpg,"Mac Demarco Retro Shirt, Mac Demarco Homage Shirt, Mac Demarco Fan Shirt, Mac Demarco Unisex Shirt, Mac Demarco Chamber Of Reflection Tee"
https://i.etsystatic.com/iusa/b679d0/94177200/iusa_75x75.94177200_2x7c.jpg?version=0,"on Aug 26, 2022",Jordan,https://www.etsy.com/people/1diya7tkbze70inj?ref=shop_review,5 out of 5 stars,"Item arrived just as ordered, shipping was a little slow, but my product arrived just as it looked online.",https://www.etsy.com/listing/1188411882/jack-harlow-homage-shirt-rapper-hip-hop?ref=shop_review,https://i.etsystatic.com/3759506492/r/il/23805c/3759506492/il_170x135.3759506492_el0p.jpg,"Jack Harlow Homage Shirt, Rapper Hip Hop Style 90s Shirt, Industry Baby Shirt, Jack Harlow Gift For Him Her Tees, Jack Harlow Tshirt"
https://i.etsystatic.com/iusa/f368d9/57758477/iusa_75x75.57758477_toh1.jpg?version=0,"on Aug 26, 2022",Makenzie,https://www.etsy.com/people/Makenzie91?ref=shop_review,5 out of 5 stars,Just as pictured! And super fast shipping.,https://www.etsy.com/listing/1214632679/adele-retro-shirt-adele-shirt-adele-easy?ref=shop_review,https://i.etsystatic.com/3805813914/r/il/465934/3805813914/il_170x135.3805813914_7qri.jpg,"Adele Retro Shirt, Adele Shirt, Adele Easy On Me Shirt, Adele 90's Vintage Shirt, Adele Gift for fan, Adele Tour Merch Shirt, Adele Tshirt"
